handle,average_viewers,hours_streamed,total_followers,twitch_link
kaicenat,103655,65.9,16300000,https://twitch.tv/kaicenat
blastpremier,57122,96,2089999.9999999998,https://twitch.tv/blastpremier
caseoh_,56525,102.4,6900000,https://twitch.tv/caseoh_
caedrel,54268,220.7,1220000,https://twitch.tv/caedrel
pathofexile,47096,8.1,419000,https://twitch.tv/pathofexile
zackrawrr,46042,200.5,2060000,https://twitch.tv/zackrawrr
plaqueboymax,34768,109.6,1830000,https://twitch.tv/plaqueboymax
rayasianboy,33007,20,1350000,https://twitch.tv/rayasianboy
hasanabi,32740,228.5,2830000,https://twitch.tv/hasanabi
2xrakai,30935,42.1,700000,https://twitch.tv/2xrakai
ohnepixel,30238,121.2,1710000,https://twitch.tv/ohnepixel
jynxzi,28604,248.8,7160000,https://twitch.tv/jynxzi
warframe,28500,11.4,2300000,https://twitch.tv/warframe
rocketleague,27289,50.5,4370000,https://twitch.tv/rocketleague
duke,25999,5.9,2720000,https://twitch.tv/duke
rainbow6,25697,13.4,3030000,https://twitch.tv/rainbow6
pgl,25582,41,1850000,https://twitch.tv/pgl
pgl_dota2,24403,68.6,478000,https://twitch.tv/pgl_dota2
xqc,24074,106.3,12000000,https://twitch.tv/xqc
thetylilshow,23169,19.6,452000,https://twitch.tv/thetylilshow
nintendo,22915,10.5,658000,https://twitch.tv/nintendo
riot games,22395,34.9,7320000,https://twitch.tv/riot games
yourragegaming,21679,103.2,1640000,https://twitch.tv/yourragegaming
stableronaldo,21631,142,3760000,https://twitch.tv/stableronaldo
tarik,21541,77.7,3260000,https://twitch.tv/tarik
jasontheween,21440,110.4,1150000,https://twitch.tv/jasontheween
lacy,20314,186.9,1250000,https://twitch.tv/lacy
lck,18978,35.2,1960000,https://twitch.tv/lck
mizkif,18830,119,2130000,https://twitch.tv/mizkif
emiru,18486,88.9,1750000,https://twitch.tv/emiru
lec,18210,38.7,2080000,https://twitch.tv/lec
agent00,18132,142,2340000,https://twitch.tv/agent00
pgl_cs2,17962,39.8,560000,https://twitch.tv/pgl_cs2
thebausffs,16874,147.3,1470000,https://twitch.tv/thebausffs
ltanorth,15518,12.2,1970000,https://twitch.tv/ltanorth
maximum,15366,118.6,557000,https://twitch.tv/maximum
timthetatman,14943,118.3,7230000,https://twitch.tv/timthetatman
lirik,14782,169.1,2980000,https://twitch.tv/lirik
clix,14362,149.7,8189999.999999999,https://twitch.tv/clix
ddg,14355,278.2,738000,https://twitch.tv/ddg
echo_esports,13862,200.8,396000,https://twitch.tv/echo_esports
fissure_dota_en,13587,117.7,134000,https://twitch.tv/fissure_dota_en
ballerleagueuk,13553,17.8,17100,https://twitch.tv/ballerleagueuk
k3soju,13437,110.3,631000,https://twitch.tv/k3soju
simurgh,13350,19.5,1530000,https://twitch.tv/simurgh
nmplol,13326,7.7,1210000,https://twitch.tv/nmplol
ludwig,13135,9.6,3380000,https://twitch.tv/ludwig
paymoneywubby,13061,50.7,673000,https://twitch.tv/paymoneywubby
lydiaviolet,13054,45.6,533000,https://twitch.tv/lydiaviolet
rdcgaming,12652,68.5,849000,https://twitch.tv/rdcgaming
northernlion,12582,60.6,804000,https://twitch.tv/northernlion
moonmoon,12438,161.3,1180000,https://twitch.tv/moonmoon
valorant_americas,12017,55.4,855000,https://twitch.tv/valorant_americas
adapt,11756,157.8,740000,https://twitch.tv/adapt
jerma985,11695,91.1,1510000,https://twitch.tv/jerma985
summit1g,11439,330.6,6320000,https://twitch.tv/summit1g
unboxholics,11392,11.3,479000,https://twitch.tv/unboxholics
capr1isun,11341,40.7,260000,https://twitch.tv/capr1isun
nasa,11327,8.4,1320000,https://twitch.tv/nasa
sodapoppin,11302,165,8960000,https://twitch.tv/sodapoppin
vedal987,11119,42.3,771000,https://twitch.tv/vedal987
easportsfc,10863,28.4,3770000,https://twitch.tv/easportsfc
elajjaz,10846,215.6,516000,https://twitch.tv/elajjaz
forsen,10703,156.6,1770000,https://twitch.tv/forsen
rollingloud,10524,20.5,370000,https://twitch.tv/rollingloud
shroud,10351,281.1,11100000,https://twitch.tv/shroud
extraemily,10349,78.5,468000,https://twitch.tv/extraemily
quin69,10270,225.4,921000,https://twitch.tv/quin69
pokimane,10056,22.8,9370000,https://twitch.tv/pokimane
valorant_emea,9576,75.5,670000,https://twitch.tv/valorant_emea
nba2kleague,9480,10.3,242000,https://twitch.tv/nba2kleague
grubby,9457,205.5,716000,https://twitch.tv/grubby
gmhikaru,9345,7.4,1970000,https://twitch.tv/gmhikaru
lord_kebun,9185,166.7,693000,https://twitch.tv/lord_kebun
jidionpremium,8981,10,506000,https://twitch.tv/jidionpremium
ow_esports,8779,23.5,2069999.9999999998,https://twitch.tv/ow_esports
worldoftanks,8695,25.9,518000,https://twitch.tv/worldoftanks
mrsavage,8695,69.6,4510000,https://twitch.tv/mrsavage
gorgc,8470,210.6,755000,https://twitch.tv/gorgc
scump,8383,132.5,1840000,https://twitch.tv/scump
angryginge13,8277,141.7,1240000,https://twitch.tv/angryginge13
warcraft,8263,19.8,910000,https://twitch.tv/warcraft
arteezy,8256,230.8,834000,https://twitch.tv/arteezy
ironmouse,8218,184.7,2280000,https://twitch.tv/ironmouse
valkyrae,8197,103.3,1410000,https://twitch.tv/valkyrae
loltyler1,8104,148.6,5450000,https://twitch.tv/loltyler1
cdawgva,8072,118.1,1420000,https://twitch.tv/cdawgva
teamfighttactics,8041,20.7,231000,https://twitch.tv/teamfighttactics
cohhcarnage,7971,128.2,1630000,https://twitch.tv/cohhcarnage
necros,7887,174.1,852000,https://twitch.tv/necros
dougdoug,7813,44.6,1070000,https://twitch.tv/dougdoug
tenz,7699,142.5,4330000,https://twitch.tv/tenz
sonysandiegostudio,7651,15.7,178000,https://twitch.tv/sonysandiegostudio
sypherpk,7379,192,7200000,https://twitch.tv/sypherpk
pgl_dota2en2,7362,9.5,206000,https://twitch.tv/pgl_dota2en2
maximilian_dood,7134,159.5,1330000,https://twitch.tv/maximilian_dood
pikabooirl,7129,245.5,585000,https://twitch.tv/pikabooirl
marlon,7024,111.2,240000,https://twitch.tv/marlon
girlhefunny1x,6962,169,329000,https://twitch.tv/girlhefunny1x
silky,6904,116,766000,https://twitch.tv/silky
